"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10951","Ошибка увеличения количества товаров в корзине @BUG","firefox","Thu Jun 05 01:45:26 GMT 2025","passed","Thu Jun 05 01:45:37 GMT 2025","UI Tests Academybug","","",""
"","30018","Ошибка отображения количества товара на главной странице @BUG","firefox","Thu Jun 05 01:44:55 GMT 2025","broken","Thu Jun 05 01:45:25 GMT 2025","UI Tests Academybug","","",""
"","60","Получение конкретного поста @API","firefox","Thu Jun 05 01:43:50 GMT 2025","passed","Thu Jun 05 01:43:50 GMT 2025","API Tests Jsonplaceholder","","",""
"","226","Создание нового поста @API","firefox","Thu Jun 05 01:43:50 GMT 2025","passed","Thu Jun 05 01:43:51 GMT 2025","API Tests Jsonplaceholder","","",""
"","6874","Ошибка смены валюты @BUG","firefox","Thu Jun 05 01:47:13 GMT 2025","passed","Thu Jun 05 01:47:20 GMT 2025","UI Tests Academybug","","",""
"","30021","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Thu Jun 05 01:51:41 GMT 2025","broken","Thu Jun 05 01:52:11 GMT 2025","UI Tests Academybug","","",""
"","5912","Ошибка перехода на страницу производителя товара @BUG","firefox","Thu Jun 05 01:50:31 GMT 2025","passed","Thu Jun 05 01:50:37 GMT 2025","UI Tests Academybug","","",""
"","206","Получение списка постов @API","firefox","Thu Jun 05 01:43:50 GMT 2025","passed","Thu Jun 05 01:43:50 GMT 2025","API Tests Jsonplaceholder","","",""
"","30017","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Thu Jun 05 01:48:24 GMT 2025","broken","Thu Jun 05 01:48:54 GMT 2025","UI Tests Academybug","","",""
"","92","Обновление поста @API","firefox","Thu Jun 05 01:43:51 GMT 2025","passed","Thu Jun 05 01:43:51 GMT 2025","API Tests Jsonplaceholder","","",""
"","30018","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Thu Jun 05 01:46:41 GMT 2025","broken","Thu Jun 05 01:47:11 GMT 2025","UI Tests Academybug","","",""
"","30019","Ошибка публикации комментария к товару @BUG","firefox","Thu Jun 05 01:49:59 GMT 2025","broken","Thu Jun 05 01:50:29 GMT 2025","UI Tests Academybug","","",""
"","95","Удаление поста @API","firefox","Thu Jun 05 01:43:51 GMT 2025","passed","Thu Jun 05 01:43:51 GMT 2025","API Tests Jsonplaceholder","","",""
