"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30017","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Sat Aug 23 01:34:54 UTC 2025","broken","Sat Aug 23 01:35:24 UTC 2025","UI Tests Academybug","","",""
"","86","Создание нового поста @API","firefox","Sat Aug 23 01:28:54 UTC 2025","passed","Sat Aug 23 01:28:54 UTC 2025","API Tests Jsonplaceholder","","",""
"","30017","Ошибка увеличения количества товаров в корзине @BUG","firefox","Sat Aug 23 01:31:36 UTC 2025","broken","Sat Aug 23 01:32:06 UTC 2025","UI Tests Academybug","","",""
"","7140","Ошибка смены валюты @BUG","firefox","Sat Aug 23 01:33:43 UTC 2025","passed","Sat Aug 23 01:33:50 UTC 2025","UI Tests Academybug","","",""
"","30020","Ошибка публикации комментария к товару @BUG","firefox","Sat Aug 23 01:36:30 UTC 2025","broken","Sat Aug 23 01:37:00 UTC 2025","UI Tests Academybug","","",""
"","29","Получение конкретного поста @API","firefox","Sat Aug 23 01:28:54 UTC 2025","passed","Sat Aug 23 01:28:54 UTC 2025","API Tests Jsonplaceholder","","",""
"","30021","Ошибка отображения количества товара на главной странице @BUG","firefox","Sat Aug 23 01:30:00 UTC 2025","broken","Sat Aug 23 01:30:31 UTC 2025","UI Tests Academybug","","",""
"","266","Получение списка постов @API","firefox","Sat Aug 23 01:28:54 UTC 2025","passed","Sat Aug 23 01:28:54 UTC 2025","API Tests Jsonplaceholder","","",""
"","216","Обновление поста @API","firefox","Sat Aug 23 01:28:54 UTC 2025","passed","Sat Aug 23 01:28:55 UTC 2025","API Tests Jsonplaceholder","","",""
"","30019","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Sat Aug 23 01:38:09 UTC 2025","broken","Sat Aug 23 01:38:39 UTC 2025","UI Tests Academybug","","",""
"","30016","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Sat Aug 23 01:33:12 UTC 2025","broken","Sat Aug 23 01:33:42 UTC 2025","UI Tests Academybug","","",""
"","83","Удаление поста @API","firefox","Sat Aug 23 01:28:55 UTC 2025","passed","Sat Aug 23 01:28:55 UTC 2025","API Tests Jsonplaceholder","","",""
"","3912","Ошибка перехода на страницу производителя товара @BUG","firefox","Sat Aug 23 01:37:01 UTC 2025","passed","Sat Aug 23 01:37:05 UTC 2025","UI Tests Academybug","","",""
