"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30020","Ошибка публикации комментария к товару @BUG","firefox","Sat Sep 13 01:28:49 UTC 2025","broken","Sat Sep 13 01:29:19 UTC 2025","UI Tests Academybug","","",""
"","43","Обновление поста @API","firefox","Sat Sep 13 01:21:17 UTC 2025","passed","Sat Sep 13 01:21:18 UTC 2025","API Tests Jsonplaceholder","","",""
"","3941","Ошибка перехода на страницу производителя товара @BUG","firefox","Sat Sep 13 01:29:21 UTC 2025","passed","Sat Sep 13 01:29:25 UTC 2025","UI Tests Academybug","","",""
"","30020","Ошибка отображения количества товара на главной странице @BUG","firefox","Sat Sep 13 01:22:21 UTC 2025","broken","Sat Sep 13 01:22:51 UTC 2025","UI Tests Academybug","","",""
"","24","Удаление поста @API","firefox","Sat Sep 13 01:21:18 UTC 2025","passed","Sat Sep 13 01:21:18 UTC 2025","API Tests Jsonplaceholder","","",""
"","35","Получение конкретного поста @API","firefox","Sat Sep 13 01:21:17 UTC 2025","passed","Sat Sep 13 01:21:17 UTC 2025","API Tests Jsonplaceholder","","",""
"","30025","Ошибка увеличения количества товаров в корзине @BUG","firefox","Sat Sep 13 01:23:57 UTC 2025","broken","Sat Sep 13 01:24:27 UTC 2025","UI Tests Academybug","","",""
"","34","Создание нового поста @API","firefox","Sat Sep 13 01:21:17 UTC 2025","passed","Sat Sep 13 01:21:17 UTC 2025","API Tests Jsonplaceholder","","",""
"","30018","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Sat Sep 13 01:30:28 UTC 2025","broken","Sat Sep 13 01:30:58 UTC 2025","UI Tests Academybug","","",""
"","30016","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Sat Sep 13 01:27:14 UTC 2025","broken","Sat Sep 13 01:27:44 UTC 2025","UI Tests Academybug","","",""
"","6324","Ошибка смены валюты @BUG","firefox","Sat Sep 13 01:26:04 UTC 2025","passed","Sat Sep 13 01:26:10 UTC 2025","UI Tests Academybug","","",""
"","30016","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Sat Sep 13 01:25:32 UTC 2025","broken","Sat Sep 13 01:26:02 UTC 2025","UI Tests Academybug","","",""
"","153","Получение списка постов @API","firefox","Sat Sep 13 01:21:17 UTC 2025","passed","Sat Sep 13 01:21:17 UTC 2025","API Tests Jsonplaceholder","","",""
