"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","Получение конкретного поста @API","firefox","Mon Apr 28 01:41:24 GMT 2025","passed","Mon Apr 28 01:41:24 GMT 2025","API Tests Jsonplaceholder","","",""
"","30019","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Mon Apr 28 01:49:10 GMT 2025","broken","Mon Apr 28 01:49:40 GMT 2025","UI Tests Academybug","","",""
"","247","Удаление поста @API","firefox","Mon Apr 28 01:41:24 GMT 2025","passed","Mon Apr 28 01:41:24 GMT 2025","API Tests Jsonplaceholder","","",""
"","9724","Ошибка увеличения количества товаров в корзине @BUG","firefox","Mon Apr 28 01:43:00 GMT 2025","passed","Mon Apr 28 01:43:10 GMT 2025","UI Tests Academybug","","",""
"","171","Получение списка постов @API","firefox","Mon Apr 28 01:41:23 GMT 2025","passed","Mon Apr 28 01:41:24 GMT 2025","API Tests Jsonplaceholder","","",""
"","30019","Ошибка публикации комментария к товару @BUG","firefox","Mon Apr 28 01:47:31 GMT 2025","broken","Mon Apr 28 01:48:01 GMT 2025","UI Tests Academybug","","",""
"","30025","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Mon Apr 28 01:45:55 GMT 2025","broken","Mon Apr 28 01:46:25 GMT 2025","UI Tests Academybug","","",""
"","263","Обновление поста @API","firefox","Mon Apr 28 01:41:24 GMT 2025","passed","Mon Apr 28 01:41:24 GMT 2025","API Tests Jsonplaceholder","","",""
"","3994","Ошибка перехода на страницу производителя товара @BUG","firefox","Mon Apr 28 01:48:02 GMT 2025","passed","Mon Apr 28 01:48:06 GMT 2025","UI Tests Academybug","","",""
"","30019","Ошибка отображения количества товара на главной странице @BUG","firefox","Mon Apr 28 01:42:28 GMT 2025","broken","Mon Apr 28 01:42:58 GMT 2025","UI Tests Academybug","","",""
"","30017","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Mon Apr 28 01:44:14 GMT 2025","broken","Mon Apr 28 01:44:44 GMT 2025","UI Tests Academybug","","",""
"","6064","Ошибка смены валюты @BUG","firefox","Mon Apr 28 01:44:45 GMT 2025","passed","Mon Apr 28 01:44:51 GMT 2025","UI Tests Academybug","","",""
"","258","Создание нового поста @API","firefox","Mon Apr 28 01:41:24 GMT 2025","passed","Mon Apr 28 01:41:24 GMT 2025","API Tests Jsonplaceholder","","",""
