"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","48","Создание нового поста @API","firefox","Fri Jan 03 01:21:43 GMT 2025","passed","Fri Jan 03 01:21:43 GMT 2025","API Tests Jsonplaceholder","","",""
"","30020","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Fri Jan 03 01:26:14 GMT 2025","broken","Fri Jan 03 01:26:44 GMT 2025","UI Tests Academybug","","",""
"","25","Удаление поста @API","firefox","Fri Jan 03 01:21:44 GMT 2025","passed","Fri Jan 03 01:21:44 GMT 2025","API Tests Jsonplaceholder","","",""
"","30017","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Fri Jan 03 01:29:30 GMT 2025","broken","Fri Jan 03 01:30:00 GMT 2025","UI Tests Academybug","","",""
"","32","Получение конкретного поста @API","firefox","Fri Jan 03 01:21:43 GMT 2025","passed","Fri Jan 03 01:21:43 GMT 2025","API Tests Jsonplaceholder","","",""
"","6101","Ошибка смены валюты @BUG","firefox","Fri Jan 03 01:25:04 GMT 2025","passed","Fri Jan 03 01:25:10 GMT 2025","UI Tests Academybug","","",""
"","9571","Ошибка увеличения количества товаров в корзине @BUG","firefox","Fri Jan 03 01:23:19 GMT 2025","passed","Fri Jan 03 01:23:28 GMT 2025","UI Tests Academybug","","",""
"","5226","Ошибка перехода на страницу производителя товара @BUG","firefox","Fri Jan 03 01:28:20 GMT 2025","passed","Fri Jan 03 01:28:26 GMT 2025","UI Tests Academybug","","",""
"","129","Получение списка постов @API","firefox","Fri Jan 03 01:21:43 GMT 2025","passed","Fri Jan 03 01:21:43 GMT 2025","API Tests Jsonplaceholder","","",""
"","46","Обновление поста @API","firefox","Fri Jan 03 01:21:44 GMT 2025","passed","Fri Jan 03 01:21:44 GMT 2025","API Tests Jsonplaceholder","","",""
"","30019","Ошибка публикации комментария к товару @BUG","firefox","Fri Jan 03 01:27:49 GMT 2025","broken","Fri Jan 03 01:28:19 GMT 2025","UI Tests Academybug","","",""
"","30019","Ошибка отображения количества товара на главной странице @BUG","firefox","Fri Jan 03 01:22:47 GMT 2025","broken","Fri Jan 03 01:23:17 GMT 2025","UI Tests Academybug","","",""
"","30018","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Fri Jan 03 01:24:32 GMT 2025","broken","Fri Jan 03 01:25:02 GMT 2025","UI Tests Academybug","","",""
