"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30019","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Mon Jun 09 01:57:13 GMT 2025","broken","Mon Jun 09 01:57:43 GMT 2025","UI Tests Academybug","","",""
"","222","Создание нового поста @API","firefox","Mon Jun 09 01:49:25 GMT 2025","passed","Mon Jun 09 01:49:25 GMT 2025","API Tests Jsonplaceholder","","",""
"","136","Получение списка постов @API","firefox","Mon Jun 09 01:49:25 GMT 2025","passed","Mon Jun 09 01:49:25 GMT 2025","API Tests Jsonplaceholder","","",""
"","9081","Ошибка увеличения количества товаров в корзине @BUG","firefox","Mon Jun 09 01:51:02 GMT 2025","passed","Mon Jun 09 01:51:12 GMT 2025","UI Tests Academybug","","",""
"","30018","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Mon Jun 09 01:52:16 GMT 2025","broken","Mon Jun 09 01:52:46 GMT 2025","UI Tests Academybug","","",""
"","6748","Ошибка смены валюты @BUG","firefox","Mon Jun 09 01:52:47 GMT 2025","passed","Mon Jun 09 01:52:54 GMT 2025","UI Tests Academybug","","",""
"","218","Обновление поста @API","firefox","Mon Jun 09 01:49:25 GMT 2025","passed","Mon Jun 09 01:49:25 GMT 2025","API Tests Jsonplaceholder","","",""
"","30019","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Mon Jun 09 01:53:58 GMT 2025","broken","Mon Jun 09 01:54:28 GMT 2025","UI Tests Academybug","","",""
"","30","Получение конкретного поста @API","firefox","Mon Jun 09 01:49:25 GMT 2025","passed","Mon Jun 09 01:49:25 GMT 2025","API Tests Jsonplaceholder","","",""
"","202","Удаление поста @API","firefox","Mon Jun 09 01:49:25 GMT 2025","passed","Mon Jun 09 01:49:26 GMT 2025","API Tests Jsonplaceholder","","",""
"","30020","Ошибка отображения количества товара на главной странице @BUG","firefox","Mon Jun 09 01:50:31 GMT 2025","broken","Mon Jun 09 01:51:01 GMT 2025","UI Tests Academybug","","",""
"","4310","Ошибка перехода на страницу производителя товара @BUG","firefox","Mon Jun 09 01:56:05 GMT 2025","passed","Mon Jun 09 01:56:09 GMT 2025","UI Tests Academybug","","",""
"","30019","Ошибка публикации комментария к товару @BUG","firefox","Mon Jun 09 01:55:33 GMT 2025","broken","Mon Jun 09 01:56:03 GMT 2025","UI Tests Academybug","","",""
