"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30016","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Wed Nov 05 01:50:39 UTC 2025","broken","Wed Nov 05 01:51:09 UTC 2025","UI Tests Academybug","","",""
"","41","Обновление поста @API","firefox","Wed Nov 05 01:41:28 UTC 2025","passed","Wed Nov 05 01:41:28 UTC 2025","API Tests Jsonplaceholder","","",""
"","30016","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Wed Nov 05 01:47:24 UTC 2025","broken","Wed Nov 05 01:47:54 UTC 2025","UI Tests Academybug","","",""
"","6293","Ошибка смены валюты @BUG","firefox","Wed Nov 05 01:46:14 UTC 2025","passed","Wed Nov 05 01:46:20 UTC 2025","UI Tests Academybug","","",""
"","32","Создание нового поста @API","firefox","Wed Nov 05 01:41:28 UTC 2025","passed","Wed Nov 05 01:41:28 UTC 2025","API Tests Jsonplaceholder","","",""
"","25","Получение конкретного поста @API","firefox","Wed Nov 05 01:41:28 UTC 2025","passed","Wed Nov 05 01:41:28 UTC 2025","API Tests Jsonplaceholder","","",""
"","3963","Ошибка перехода на страницу производителя товара @BUG","firefox","Wed Nov 05 01:49:31 UTC 2025","passed","Wed Nov 05 01:49:35 UTC 2025","UI Tests Academybug","","",""
"","27","Удаление поста @API","firefox","Wed Nov 05 01:41:28 UTC 2025","passed","Wed Nov 05 01:41:28 UTC 2025","API Tests Jsonplaceholder","","",""
"","30024","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Wed Nov 05 01:45:43 UTC 2025","broken","Wed Nov 05 01:46:13 UTC 2025","UI Tests Academybug","","",""
"","30014","Ошибка увеличения количества товаров в корзине @BUG","firefox","Wed Nov 05 01:44:07 UTC 2025","broken","Wed Nov 05 01:44:37 UTC 2025","UI Tests Academybug","","",""
"","30020","Ошибка публикации комментария к товару @BUG","firefox","Wed Nov 05 01:49:00 UTC 2025","broken","Wed Nov 05 01:49:30 UTC 2025","UI Tests Academybug","","",""
"","30021","Ошибка отображения количества товара на главной странице @BUG","firefox","Wed Nov 05 01:42:32 UTC 2025","broken","Wed Nov 05 01:43:02 UTC 2025","UI Tests Academybug","","",""
"","140","Получение списка постов @API","firefox","Wed Nov 05 01:41:28 UTC 2025","passed","Wed Nov 05 01:41:28 UTC 2025","API Tests Jsonplaceholder","","",""
