"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30018","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Sat Apr 26 01:36:41 GMT 2025","broken","Sat Apr 26 01:37:11 GMT 2025","UI Tests Academybug","","",""
"","52","Создание нового поста @API","firefox","Sat Apr 26 01:28:52 GMT 2025","passed","Sat Apr 26 01:28:52 GMT 2025","API Tests Jsonplaceholder","","",""
"","5026","Ошибка перехода на страницу производителя товара @BUG","firefox","Sat Apr 26 01:35:32 GMT 2025","passed","Sat Apr 26 01:35:37 GMT 2025","UI Tests Academybug","","",""
"","30018","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Sat Apr 26 01:33:25 GMT 2025","broken","Sat Apr 26 01:33:55 GMT 2025","UI Tests Academybug","","",""
"","101","Обновление поста @API","firefox","Sat Apr 26 01:28:52 GMT 2025","passed","Sat Apr 26 01:28:53 GMT 2025","API Tests Jsonplaceholder","","",""
"","120","Получение списка постов @API","firefox","Sat Apr 26 01:28:52 GMT 2025","passed","Sat Apr 26 01:28:52 GMT 2025","API Tests Jsonplaceholder","","",""
"","88","Удаление поста @API","firefox","Sat Apr 26 01:28:53 GMT 2025","passed","Sat Apr 26 01:28:53 GMT 2025","API Tests Jsonplaceholder","","",""
"","30016","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Sat Apr 26 01:31:43 GMT 2025","broken","Sat Apr 26 01:32:13 GMT 2025","UI Tests Academybug","","",""
"","30021","Ошибка публикации комментария к товару @BUG","firefox","Sat Apr 26 01:35:00 GMT 2025","broken","Sat Apr 26 01:35:30 GMT 2025","UI Tests Academybug","","",""
"","33","Получение конкретного поста @API","firefox","Sat Apr 26 01:28:52 GMT 2025","passed","Sat Apr 26 01:28:52 GMT 2025","API Tests Jsonplaceholder","","",""
"","10364","Ошибка увеличения количества товаров в корзине @BUG","firefox","Sat Apr 26 01:30:28 GMT 2025","passed","Sat Apr 26 01:30:39 GMT 2025","UI Tests Academybug","","",""
"","6485","Ошибка смены валюты @BUG","firefox","Sat Apr 26 01:32:14 GMT 2025","passed","Sat Apr 26 01:32:21 GMT 2025","UI Tests Academybug","","",""
"","30017","Ошибка отображения количества товара на главной странице @BUG","firefox","Sat Apr 26 01:29:57 GMT 2025","broken","Sat Apr 26 01:30:27 GMT 2025","UI Tests Academybug","","",""
