"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30019","Ошибка публикации комментария к товару @BUG","firefox","Mon Jun 30 01:56:38 GMT 2025","broken","Mon Jun 30 01:57:08 GMT 2025","UI Tests Academybug","","",""
"","30018","Ошибка подсчета общей стоимости товара в корзине @BUG","firefox","Mon Jun 30 01:55:03 GMT 2025","broken","Mon Jun 30 01:55:33 GMT 2025","UI Tests Academybug","","",""
"","7221","Ошибка смены валюты @BUG","firefox","Mon Jun 30 01:53:52 GMT 2025","passed","Mon Jun 30 01:53:59 GMT 2025","UI Tests Academybug","","",""
"","41","Удаление поста @API","firefox","Mon Jun 30 01:50:31 GMT 2025","passed","Mon Jun 30 01:50:31 GMT 2025","API Tests Jsonplaceholder","","",""
"","30019","Ошибка отображения количества товара на главной странице @BUG","firefox","Mon Jun 30 01:51:35 GMT 2025","broken","Mon Jun 30 01:52:05 GMT 2025","UI Tests Academybug","","",""
"","49","Создание нового поста @API","firefox","Mon Jun 30 01:50:31 GMT 2025","passed","Mon Jun 30 01:50:31 GMT 2025","API Tests Jsonplaceholder","","",""
"","30019","Ошибка фильтрации товаров по ценовому диапазону @BUG","firefox","Mon Jun 30 01:58:18 GMT 2025","broken","Mon Jun 30 01:58:48 GMT 2025","UI Tests Academybug","","",""
"","101","Обновление поста @API","firefox","Mon Jun 30 01:50:31 GMT 2025","passed","Mon Jun 30 01:50:31 GMT 2025","API Tests Jsonplaceholder","","",""
"","198","Получение списка постов @API","firefox","Mon Jun 30 01:50:31 GMT 2025","passed","Mon Jun 30 01:50:31 GMT 2025","API Tests Jsonplaceholder","","",""
"","27","Получение конкретного поста @API","firefox","Mon Jun 30 01:50:31 GMT 2025","passed","Mon Jun 30 01:50:31 GMT 2025","API Tests Jsonplaceholder","","",""
"","9520","Ошибка увеличения количества товаров в корзине @BUG","firefox","Mon Jun 30 01:52:07 GMT 2025","passed","Mon Jun 30 01:52:16 GMT 2025","UI Tests Academybug","","",""
"","30019","Ошибка возврата на главную страницу при удалении товара из козины @BUG","firefox","Mon Jun 30 01:53:20 GMT 2025","broken","Mon Jun 30 01:53:50 GMT 2025","UI Tests Academybug","","",""
"","3858","Ошибка перехода на страницу производителя товара @BUG","firefox","Mon Jun 30 01:57:10 GMT 2025","passed","Mon Jun 30 01:57:14 GMT 2025","UI Tests Academybug","","",""
